instance_id;exam
solving_time;3528.958574295044
status;Optimal
Prenom;%;J/N;Semaine 1;;;;;;;Semaine 2;;;;;;;Semaine 3;;;;;;;Semaine 4;;;;;;;Semaine 5;;;;;;;Semaine 6;;;;;;;Semaine 7;;;;;;;Semaine 8;;;;;;;Semaine 9;;;;;;;Semaine 10;;;;;;;Semaine 11;;;;;;;Semaine 12;;;;;;;Semaine 13;;;;;;;Semaine 14;;;;;;;Semaine 15;;;;;;;Semaine 16;;;;;;;Semaine 17;;;;;;;Semaine 18;;;;;;;Semaine 19;;;;;;;Semaine 20;;;;;;;Semaine 21;;;;;;;Semaine 22;;;;;;;Semaine 23;;;;;;;Semaine 24;;;;;;
Agent;%;J/N;L;Ma;Me;J;V;S;D;L;Ma;Me;J;V;S;D;L;Ma;Me;J;V;S;D;L;Ma;Me;J;V;S;D;L;Ma;Me;J;V;S;D;L;Ma;Me;J;V;S;D;L;Ma;Me;J;V;S;D;L;Ma;Me;J;V;S;D;L;Ma;Me;J;V;S;D;L;Ma;Me;J;V;S;D;L;Ma;Me;J;V;S;D;L;Ma;Me;J;V;S;D;L;Ma;Me;J;V;S;D;L;Ma;Me;J;V;S;D;L;Ma;Me;J;V;S;D;L;Ma;Me;J;V;S;D;L;Ma;Me;J;V;S;D;L;Ma;Me;J;V;S;D;L;Ma;Me;J;V;S;D;L;Ma;Me;J;V;S;D;L;Ma;Me;J;V;S;D;L;Ma;Me;J;V;S;D;L;Ma;Me;J;V;S;D;L;Ma;Me;J;V;S;D
1;100;J/N;Jca;S;N;-;-;M;M;-;M;M;M;Jca;-;-;M;M;Jca;N;-;-;M;N;N;N;N;-;-;-;M;Jca;-;Jca;N;-;N;N;-;J;Jca;N;-;-;Jca;N;-;-;J;Jca;S;S;-;S;S;S;-;-;Jca;S;N;-;-;M;M;-;M;M;M;Jca;-;-;M;M;Jca;N;-;-;M;N;N;N;N;-;-;-;M;Jca;-;Jca;N;-;N;N;-;J;Jca;N;-;-;Jca;N;-;-;J;Jca;S;S;-;S;S;S;-;-;Jca;S;N;-;-;M;M;-;M;M;M;Jca;-;-;M;M;Jca;N;-;-;M;N;N;N;N;-;-;-;M;Jca;-;Jca;N;-;N;N;-;J;Jca;N;-;-;Jca;N;-;-;J;Jca;S;S;-;S;S;S;-;-
2;100;J/N;-;M;M;M;Jca;-;-;M;M;Jca;N;-;-;M;N;N;N;N;-;-;-;M;Jca;-;Jca;N;-;N;N;-;J;Jca;N;-;-;Jca;N;-;-;J;Jca;S;S;-;S;S;S;-;-;Jca;S;N;-;-;M;M;-;M;M;M;Jca;-;-;M;M;Jca;N;-;-;M;N;N;N;N;-;-;-;M;Jca;-;Jca;N;-;N;N;-;J;Jca;N;-;-;Jca;N;-;-;J;Jca;S;S;-;S;S;S;-;-;Jca;S;N;-;-;M;M;-;M;M;M;Jca;-;-;M;M;Jca;N;-;-;M;N;N;N;N;-;-;-;M;Jca;-;Jca;N;-;N;N;-;J;Jca;N;-;-;Jca;N;-;-;J;Jca;S;S;-;S;S;S;-;-;Jca;S;N;-;-;M;M
3;100;J/N;M;M;Jca;N;-;-;M;N;N;N;N;-;-;-;M;Jca;-;Jca;N;-;N;N;-;J;Jca;N;-;-;Jca;N;-;-;J;Jca;S;S;-;S;S;S;-;-;Jca;S;N;-;-;M;M;-;M;M;M;Jca;-;-;M;M;Jca;N;-;-;M;N;N;N;N;-;-;-;M;Jca;-;Jca;N;-;N;N;-;J;Jca;N;-;-;Jca;N;-;-;J;Jca;S;S;-;S;S;S;-;-;Jca;S;N;-;-;M;M;-;M;M;M;Jca;-;-;M;M;Jca;N;-;-;M;N;N;N;N;-;-;-;M;Jca;-;Jca;N;-;N;N;-;J;Jca;N;-;-;Jca;N;-;-;J;Jca;S;S;-;S;S;S;-;-;Jca;S;N;-;-;M;M;-;M;M;M;Jca;-;-
4;100;J/N;N;N;N;N;-;-;-;M;Jca;-;Jca;N;-;N;N;-;J;Jca;N;-;-;Jca;N;-;-;J;Jca;S;S;-;S;S;S;-;-;Jca;S;N;-;-;M;M;-;M;M;M;Jca;-;-;M;M;Jca;N;-;-;M;N;N;N;N;-;-;-;M;Jca;-;Jca;N;-;N;N;-;J;Jca;N;-;-;Jca;N;-;-;J;Jca;S;S;-;S;S;S;-;-;Jca;S;N;-;-;M;M;-;M;M;M;Jca;-;-;M;M;Jca;N;-;-;M;N;N;N;N;-;-;-;M;Jca;-;Jca;N;-;N;N;-;J;Jca;N;-;-;Jca;N;-;-;J;Jca;S;S;-;S;S;S;-;-;Jca;S;N;-;-;M;M;-;M;M;M;Jca;-;-;M;M;Jca;N;-;-;M
5;100;J/N;M;Jca;-;Jca;N;-;N;N;-;J;Jca;N;-;-;Jca;N;-;-;J;Jca;S;S;-;S;S;S;-;-;Jca;S;N;-;-;M;M;-;M;M;M;Jca;-;-;M;M;Jca;N;-;-;M;N;N;N;N;-;-;-;M;Jca;-;Jca;N;-;N;N;-;J;Jca;N;-;-;Jca;N;-;-;J;Jca;S;S;-;S;S;S;-;-;Jca;S;N;-;-;M;M;-;M;M;M;Jca;-;-;M;M;Jca;N;-;-;M;N;N;N;N;-;-;-;M;Jca;-;Jca;N;-;N;N;-;J;Jca;N;-;-;Jca;N;-;-;J;Jca;S;S;-;S;S;S;-;-;Jca;S;N;-;-;M;M;-;M;M;M;Jca;-;-;M;M;Jca;N;-;-;M;N;N;N;N;-;-;-
6;100;J/N;N;-;J;Jca;N;-;-;Jca;N;-;-;J;Jca;S;S;-;S;S;S;-;-;Jca;S;N;-;-;M;M;-;M;M;M;Jca;-;-;M;M;Jca;N;-;-;M;N;N;N;N;-;-;-;M;Jca;-;Jca;N;-;N;N;-;J;Jca;N;-;-;Jca;N;-;-;J;Jca;S;S;-;S;S;S;-;-;Jca;S;N;-;-;M;M;-;M;M;M;Jca;-;-;M;M;Jca;N;-;-;M;N;N;N;N;-;-;-;M;Jca;-;Jca;N;-;N;N;-;J;Jca;N;-;-;Jca;N;-;-;J;Jca;S;S;-;S;S;S;-;-;Jca;S;N;-;-;M;M;-;M;M;M;Jca;-;-;M;M;Jca;N;-;-;M;N;N;N;N;-;-;-;M;Jca;-;Jca;N;-;N
7;100;J/N;Jca;N;-;-;J;Jca;S;S;-;S;S;S;-;-;Jca;S;N;-;-;M;M;-;M;M;M;Jca;-;-;M;M;Jca;N;-;-;M;N;N;N;N;-;-;-;M;Jca;-;Jca;N;-;N;N;-;J;Jca;N;-;-;Jca;N;-;-;J;Jca;S;S;-;S;S;S;-;-;Jca;S;N;-;-;M;M;-;M;M;M;Jca;-;-;M;M;Jca;N;-;-;M;N;N;N;N;-;-;-;M;Jca;-;Jca;N;-;N;N;-;J;Jca;N;-;-;Jca;N;-;-;J;Jca;S;S;-;S;S;S;-;-;Jca;S;N;-;-;M;M;-;M;M;M;Jca;-;-;M;M;Jca;N;-;-;M;N;N;N;N;-;-;-;M;Jca;-;Jca;N;-;N;N;-;J;Jca;N;-;-
8;100;J/N;S;-;S;S;S;-;-;Jca;S;N;-;-;M;M;-;M;M;M;Jca;-;-;M;M;Jca;N;-;-;M;N;N;N;N;-;-;-;M;Jca;-;Jca;N;-;N;N;-;J;Jca;N;-;-;Jca;N;-;-;J;Jca;S;S;-;S;S;S;-;-;Jca;S;N;-;-;M;M;-;M;M;M;Jca;-;-;M;M;Jca;N;-;-;M;N;N;N;N;-;-;-;M;Jca;-;Jca;N;-;N;N;-;J;Jca;N;-;-;Jca;N;-;-;J;Jca;S;S;-;S;S;S;-;-;Jca;S;N;-;-;M;M;-;M;M;M;Jca;-;-;M;M;Jca;N;-;-;M;N;N;N;N;-;-;-;M;Jca;-;Jca;N;-;N;N;-;J;Jca;N;-;-;Jca;N;-;-;J;Jca;S
9;80;J/N;J;Jca;-;-;Jca;N;N;-;-;-;J;Jca;N;-;-;J;Jca;-;Jca;N;-;-;-;-;-;-;Jca;N;-;-;M;M;M;M;-;J;Jca;-;-;Jca;N;-;J;Jca;-;-;Jca;N;N;-;-;-;J;Jca;N;-;-;J;Jca;-;Jca;N;-;-;-;-;-;-;Jca;N;-;-;M;M;M;M;-;J;Jca;-;-;Jca;N;-;J;Jca;-;-;Jca;N;N;-;-;-;J;Jca;N;-;-;J;Jca;-;Jca;N;-;-;-;-;-;-;Jca;N;-;-;M;M;M;M;-;J;Jca;-;-;Jca;N;-;J;Jca;-;-;Jca;N;N;-;-;-;J;Jca;N;-;-;J;Jca;-;Jca;N;-;-;-;-;-;-;Jca;N;-;-;M;M;M;M;-;J;Jca;-;-;Jca;N;-
10;80;J/N;-;J;Jca;-;Jca;N;-;-;-;-;-;-;Jca;N;-;-;M;M;M;M;-;J;Jca;-;-;Jca;N;-;J;Jca;-;-;Jca;N;N;-;-;-;J;Jca;N;-;-;J;Jca;-;Jca;N;-;-;-;-;-;-;Jca;N;-;-;M;M;M;M;-;J;Jca;-;-;Jca;N;-;J;Jca;-;-;Jca;N;N;-;-;-;J;Jca;N;-;-;J;Jca;-;Jca;N;-;-;-;-;-;-;Jca;N;-;-;M;M;M;M;-;J;Jca;-;-;Jca;N;-;J;Jca;-;-;Jca;N;N;-;-;-;J;Jca;N;-;-;J;Jca;-;Jca;N;-;-;-;-;-;-;Jca;N;-;-;M;M;M;M;-;J;Jca;-;-;Jca;N;-;J;Jca;-;-;Jca;N;N;-;-;-;J;Jca;N;-
11;80;J/N;-;-;M;M;M;M;-;J;Jca;-;-;Jca;N;-;J;Jca;-;-;Jca;N;N;-;-;-;J;Jca;N;-;-;J;Jca;-;Jca;N;-;-;-;-;-;-;Jca;N;-;-;M;M;M;M;-;J;Jca;-;-;Jca;N;-;J;Jca;-;-;Jca;N;N;-;-;-;J;Jca;N;-;-;J;Jca;-;Jca;N;-;-;-;-;-;-;Jca;N;-;-;M;M;M;M;-;J;Jca;-;-;Jca;N;-;J;Jca;-;-;Jca;N;N;-;-;-;J;Jca;N;-;-;J;Jca;-;Jca;N;-;-;-;-;-;-;Jca;N;-;-;M;M;M;M;-;J;Jca;-;-;Jca;N;-;J;Jca;-;-;Jca;N;N;-;-;-;J;Jca;N;-;-;J;Jca;-;Jca;N;-;-;-;-;-;-;Jca;N
12;75;J;-;-;-;J;Jca;S;-;-;-;M;M;M;M;Jca;-;-;-;J;Jca;S;-;-;-;M;M;M;M;-;-;-;-;J;Jca;S;-;-;-;M;M;M;M;Jca;-;-;-;J;Jca;S;-;-;-;M;M;M;M;-;-;-;-;J;Jca;S;-;-;-;M;M;M;M;Jca;-;-;-;J;Jca;S;-;-;-;M;M;M;M;-;-;-;-;J;Jca;S;-;-;-;M;M;M;M;Jca;-;-;-;J;Jca;S;-;-;-;M;M;M;M;-;-;-;-;J;Jca;S;-;-;-;M;M;M;M;Jca;-;-;-;J;Jca;S;-;-;-;M;M;M;M;-;-;-;-;J;Jca;S;-;-;-;M;M;M;M;Jca;-;-;-;J;Jca;S;-;-;-;M;M;M;M;-
13;60;J;-;-;-;-;M;Jca;-;-;J;Jca;-;M;S;-;-;-;-;-;M;Jca;-;-;J;Jca;-;M;S;-;-;-;-;-;M;Jca;-;-;J;Jca;-;M;S;-;-;-;-;-;M;Jca;-;-;J;Jca;-;M;S;-;-;-;-;-;M;Jca;-;-;J;Jca;-;M;S;-;-;-;-;-;M;Jca;-;-;J;Jca;-;M;S;-;-;-;-;-;M;Jca;-;-;J;Jca;-;M;S;-;-;-;-;-;M;Jca;-;-;J;Jca;-;M;S;-;-;-;-;-;M;Jca;-;-;J;Jca;-;M;S;-;-;-;-;-;M;Jca;-;-;J;Jca;-;M;S;-;-;-;-;-;M;Jca;-;-;J;Jca;-;M;S;-;-;-;-;-;M;Jca;-;-;J;Jca;-;M;S;-
Total M;;;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2
Total J;;;1;1;1;1;1;0;0;1;1;1;1;1;0;0;1;1;1;1;1;0;0;1;1;1;1;1;0;0;1;1;1;1;1;0;0;1;1;1;1;1;0;0;1;1;1;1;1;0;0;1;1;1;1;1;0;0;1;1;1;1;1;0;0;1;1;1;1;1;0;0;1;1;1;1;1;0;0;1;1;1;1;1;0;0;1;1;1;1;1;0;0;1;1;1;1;1;0;0;1;1;1;1;1;0;0;1;1;1;1;1;0;0;1;1;1;1;1;0;0;1;1;1;1;1;0;0;1;1;1;1;1;0;0;1;1;1;1;1;0;0;1;1;1;1;1;0;0;1;1;1;1;1;0;0;1;1;1;1;1;0;0;1;1;1;1;1;0;0
Total S;;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
Total N;;;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2
Total Jca;;;2;2;2;2;4;2;0;2;2;2;2;3;2;1;2;2;2;2;4;2;0;2;2;2;2;3;2;0;2;2;2;2;4;2;0;2;2;2;2;3;2;1;2;2;2;2;4;2;0;2;2;2;2;3;2;0;2;2;2;2;4;2;0;2;2;2;2;3;2;1;2;2;2;2;4;2;0;2;2;2;2;3;2;0;2;2;2;2;4;2;0;2;2;2;2;3;2;1;2;2;2;2;4;2;0;2;2;2;2;3;2;0;2;2;2;2;4;2;0;2;2;2;2;3;2;1;2;2;2;2;4;2;0;2;2;2;2;3;2;0;2;2;2;2;4;2;0;2;2;2;2;3;2;1;2;2;2;2;4;2;0;2;2;2;2;3;2;0

Rappel des besoins de la maquette
;;;L;Ma;Me;J;V;S;D
;;M;2;2;2;2;2;2;2
;;J;1;1;1;1;1;0;0
;;S;1;1;1;1;1;1;1
;;N;2;2;2;2;2;2;2

Resultats;Nombre de postes de travail effectues par chaque agent;;;;;;;;;;;Equite
Agent;%;M;J;S;N;Jca;;T;D;Df;;%;M;J;S;N;Jca
1;100;27;6;18;33;24;;892.5;900.0;7.5;;100;100%;100%;100%;100%;100%
2;100;27;6;18;33;24;;892.5;900.0;7.5;;100;100%;100%;100%;100%;100%
3;100;27;6;18;33;24;;892.5;900.0;7.5;;100;100%;100%;100%;100%;100%
4;100;27;6;18;33;24;;892.5;900.0;7.5;;100;100%;100%;100%;100%;100%
5;100;27;6;18;33;24;;892.5;900.0;7.5;;100;100%;100%;100%;100%;100%
6;100;27;6;18;33;24;;892.5;900.0;7.5;;100;100%;100%;100%;100%;100%
7;100;27;6;18;33;24;;892.5;900.0;7.5;;100;100%;100%;100%;100%;100%
8;100;27;6;18;33;24;;892.5;900.0;7.5;;100;100%;100%;100%;100%;100%
9;80;16;16;0;24;32;;720.0;720.0;0.0;;80;74%;333%;0%;91%;167%
10;80;16;16;0;24;32;;720.0;720.0;0.0;;80;74%;333%;0%;91%;167%
11;80;16;16;0;24;32;;720.0;720.0;0.0;;80;74%;333%;0%;91%;167%
12;75;48;12;12;0;18;;675.0;675.0;0.0;;75;237%;267%;89%;0%;100%
13;60;24;12;12;0;24;;540.0;540.0;0.0;;60;148%;333%;111%;0%;167%

Resultats;Nombre de jours de la semaine travailles par agent
Agent;%;L;Ma;Me;J;V;S;D
1;100;21;18;18;18;15;6;12
2;100;21;18;18;18;15;6;12
3;100;21;18;18;18;15;6;12
4;100;21;18;18;18;15;6;12
5;100;21;18;18;18;15;6;12
6;100;21;18;18;18;15;6;12
7;100;21;18;18;18;15;6;12
8;100;21;18;18;18;15;6;12
9;80;8;12;8;8;20;24;8
10;80;8;12;8;8;20;24;8
11;80;8;12;8;8;20;24;8
12;75;0;0;12;24;24;24;6
13;60;0;12;12;0;24;24;0
